immunity_menuName = Güvenlik Görevlisi{user,name}
pvpassist1_menuName = Savunucu 1{user,name}
pvpassist2_menuName = Savunucu 2{user,name}
pvpassist3_menuName = Savunucu 3{user,name}
pvpassist4_menuName = Savunucu 4{user,name}
pvpassist5_menuName = Savunucu 5{user,name}
pvpassist6_menuName = Savunucu 6{user,name}
pvpassist7_menuName = Savunucu 7{user,name}
parliament1_menuName = Meclis Başkanı{user,name}
parliament2_menuName = Lord Şansölye{user,name}
parliament3_menuName = Çoğunluk Lideri{user,name}
parliament4_menuName = Çoğunluk Grup Başkanvekili{user,name}
parliament5_menuName = Azınlık Lideri{user,name}
parliament6_menuName = Azınlık Grup Başkanvekili{user,name}
parliament7_menuName = Milletvekili{user,name}
executivemansion1_menuName = Özel Kalem Müdürü{user,name}
executivemansion2_menuName = Basın Sözcüsü{user,name}
executivemansion3_menuName = Güvenlik Şefi{user,name}
executivemansion4_menuName = Konuşma Yazarı{user,name}
executivemansion5_menuName = Özel Aşçı{user,name}
executivemansion6_menuName = Kişisel Alışverişçi{user,name}
executivemansion7_menuName = Özel Şoför{user,name}
executivemansion8_menuName = Kişisel Kişi{user,name}
executivemansion9_menuName = Hademe{user,name}
executivemansion10_menuName = Çatı Keskin Nişancısı{user,name}
executivemansion11_menuName = Koruma{user,name}
executivemansion12_menuName = Stajyer{user,name}
federalcourthouse1_menuName = Başyargıç{user,name}
federalcourthouse2_menuName = Üye Yargıç{user,name}
federalcourthouse10_menuName = Zabıt Kâtibi{user,name}
treasury1_menuName = Hazine Bakanı{user,name}
treasury2_menuName = Baş Ekonomist{user,name}
treasury3_menuName = Maliye Çarı{user,name}
treasury4_menuName = Kalem Efendisi{user,name}
treasury5_menuName = Kuruş Hesapçısı{user,name}
treasury6_menuName = Vergi Tahsildarı{user,name}
treasury7_menuName = Madeni Para Tasarımcısı{user,name}
treasury8_menuName = Para Basıcı{user,name}
treasury9_menuName = Para Sayıcı{user,name}
treasury10_menuName = Muhasebeci{user,name}
treasury11_menuName = Avukat{user,name}
treasury12_menuName = Güvenlik Görevlisi{user,name}
maritimeacademy1_menuName = Okul Müdürü{user,name}
maritimeacademy2_menuName = Eğitim Çavuşu{user,name}
maritimeacademy3_menuName = Danışman{user,name}
maritimeacademy4_menuName = Rehber Öğretmen{user,name}
maritimeacademy5_menuName = Devamsızlık Memuru{user,name}
maritimeacademy6_menuName = Sekreter{user,name}
maritimeacademy7_menuName = Asker Alım Görevlisi{user,name}
maritimeacademy9_menuName = Eğitmen{user,name}
maritimeacademy12_menuName = Aşçıbaşı{user,name}
nationalarchives1_menuName = Baş Kütüphaneci{user,name}
nationalarchives2_menuName = Baş Arşivci{user,name}
nationalarchives3_menuName = Kıdemli Tarihçi{user,name}
nationalarchives4_menuName = Kayıt Müdürü{user,name}
nationalarchives5_menuName = Dijital Arşivci{user,name}
nationalarchives6_menuName = Koruma Uzmanı{user,name}
nationalarchives7_menuName = Restoratör{user,name}
nationalarchives8_menuName = Fotoğrafçı{user,name}
nationalarchives9_menuName = Kütüphaneci{user,name}
prison1_menuName = Cezaevi Müdürü{user,name}
prison2_menuName = Din Görevlisi{user,name}
prison3_menuName = Doktor{user,name}
prison4_menuName = Diş Hekimi{user,name}
prison6_menuName = Terapist{user,name}
prison7_menuName = Gardiyan{user,name}
nationalpark1_menuName = İçişleri Bakanı{user,name}
nationalpark2_menuName = Park Bekçisi{user,name}
nationalpark3_menuName = Ekolog{user,name}
nationalpark4_menuName = Jeolog{user,name}
nationalpark5_menuName = Biyolog{user,name}
nationalpark6_menuName = Tarihçi{user,name}
nationalpark7_menuName = Arkeolog{user,name}
nationalpark8_menuName = Hayvan Bakıcısı{user,name}
nationalpark9_menuName = Rehber{user,name}
